id,name,category,price
7fd3f029-d6f3-4943-9e87-85c748c3fa40,Reduced solution-oriented installation,Beauty,463.14
613c5add-9370-4f40-bf34-6fa63dafc338,Synergized bandwidth-monitored alliance,Home,287.63
5947de79-1b97-4733-91c6-fa5d649d260b,Ameliorated client-driven software,Apparel,388.72
1f7abd56-94c4-469c-a493-d64589cc27b8,Focused non-volatile superstructure,Home,194.93
27c85706-b998-45d2-bde6-e24cfe32d2ee,Advanced heuristic open architecture,Home,461.25
95456e09-503a-4d65-82a4-fb5cd45ee4d0,Pre-emptive multi-state process improvement,Home,198.82
d62ba21f-e056-49e8-9586-4325aa6abc37,Business-focused dedicated architecture,Apparel,381.96
f5db2bf9-a659-4ea3-8465-303c61a1361b,Programmable fresh-thinking middleware,Home,59.1
7c450ca1-dafd-440e-a65f-79b1dfe3ef06,De-engineered global monitoring,Sports,450.56
6936edb4-81fe-4275-96f0-b1c5164a0a9f,Public-key encompassing functionalities,Beauty,351.11
6178ad29-318c-4d56-9ef2-a1a03b182440,Quality-focused logistical extranet,Home,444.72
f3daaf00-35cf-4424-ac20-3e0586ba1a14,Customer-focused leadingedge forecast,Sports,401.8
8ddcf9ce-eafd-4a9f-82e6-63d818748f2f,Customizable 6thgeneration alliance,Home,333.56
cddc50cb-2fee-47a7-9941-ead47980cd2a,Exclusive web-enabled strategy,Home,299.26
553bd639-cecf-4ce9-b9d1-1ff3bf146c47,Grass-roots user-facing focus group,Sports,126.96
afa26dc4-500f-4a88-b79c-8f4819d6aea1,Configurable static capacity,Apparel,398.88
91b0bc5e-0c20-43b6-922b-bc4e470c998c,Focused coherent superstructure,Home,341.23
f6e9bfd2-5931-4d6d-ac21-c229afc1f22c,Down-sized bandwidth-monitored moderator,Beauty,231.29
d1a6ab65-6789-4c41-a736-e0dadf01de9b,Devolved high-level success,Home,402.98
ac7d7c7e-414e-4c6e-b3fb-9ddbb8fe154d,Self-enabling encompassing system engine,Beauty,38.31
f8d42459-c1df-4afc-80e7-24a161bac792,Compatible composite product,Beauty,484.9
c339f6bd-b7f6-467e-8611-163bbe4043d9,Future-proofed multi-state installation,Beauty,387.89
b02896df-784c-4ba7-8198-6265ce577260,Function-based interactive algorithm,Electronics,206.7
8c576536-e9f4-4295-8ab0-aee56a823d8e,Optional system-worthy core,Beauty,31.65
a94140a9-4330-46f7-bc5f-def72275bd73,Grass-roots modular function,Electronics,319.32
734eceb2-a60e-411c-9611-fcac658eac04,Team-oriented empowering solution,Apparel,56.77
bdd340ac-dcf1-498b-94a9-fc9778a19508,Multi-tiered bottom-line process improvement,Apparel,228.9
81ebef4c-166e-4c8d-a521-88c5ca7eb863,Realigned multi-tasking extranet,Beauty,160.57
a9190a95-46db-460f-8546-a056afe30f93,Enterprise-wide foreground middleware,Beauty,170.13
5bcb749e-ac13-4b12-b46e-311958cde4fd,Progressive full-range methodology,Beauty,396.26
50647642-ce9e-4187-80d5-2aed0761da97,Persevering clear-thinking Internet solution,Beauty,27.69
f11184f6-f9d3-4d2a-bd82-fa8692df3815,User-friendly even-keeled intranet,Beauty,364.64
2b4c0eee-d073-4711-9aa9-fba7a6ead405,Synergistic solution-oriented open system,Home,424.97
d09c986a-5901-48ec-8918-f84ca8ce3569,De-engineered multimedia forecast,Apparel,307.64
21c93534-a2ee-461b-8876-2d3f74e4c770,Multi-layered zero tolerance application,Apparel,266.89
46fc2d5a-234e-466c-80f5-e1d4028afb85,Sharable optimal pricing structure,Beauty,96.57
dc40ed3a-5cfc-454a-9235-e423bb28254f,Intuitive mobile system engine,Electronics,374.45
84e75a2e-6020-4fcd-9277-14637e3ad6ed,Compatible encompassing neural-net,Beauty,230.32
b7e9821a-c228-4f87-a67e-137eafef727d,Seamless client-server system engine,Electronics,403.47
76f6a104-4b47-4e16-8de3-82400f160348,Integrated exuding throughput,Sports,273.45
26302fe2-b867-4249-bea6-abc3df3d15bc,Down-sized encompassing implementation,Home,368.68
e8dc7d0b-2b3e-4400-b86f-fe441832c189,User-friendly next generation success,Beauty,324.11
7d92cfa8-7f71-4fb2-8469-fba324341f31,Enterprise-wide responsive groupware,Home,38.06
01822e3c-ad3b-4065-ba81-0add08a40e0e,Front-line grid-enabled Graphic Interface,Apparel,474.18
7d2aaafc-b5a5-4c25-8c91-f7f22b3bf0af,Public-key real-time access,Apparel,161.44
7eac114d-ac64-424d-99b6-aa19b2b25281,Versatile holistic knowledge user,Electronics,99.97
008bfc9b-2d9e-41bd-a525-901ccd3ddeae,Focused zero-defect productivity,Beauty,417.6
1d45edd4-eb17-4f85-bf13-186646279891,Progressive full-range product,Electronics,279.49
de7883ee-8428-4c30-b88f-62d2f9fa01d3,Polarized optimal installation,Sports,177.86
b66c54b4-dd92-48be-9bd0-15ef4b8524e0,Focused clear-thinking synergy,Electronics,217.82
d1fb57a3-8e12-4c11-9442-2dfa5622dbbc,Focused heuristic extranet,Apparel,32.7
00a9d115-e739-4469-946a-3ee1b0a8b9c7,Expanded client-server service-desk,Sports,176.91
df3f5bfb-a524-4245-a79c-6746ac4b2824,Innovative systematic open architecture,Electronics,108.17
dd0053c8-4527-4cb2-921b-33cb2d2f9d6c,Polarized stable initiative,Beauty,135.51
ce3e3382-0a17-461e-938b-d04edcf4af4e,Switchable zero-defect application,Apparel,99.8
1b572b39-1b42-4819-8020-fe6a80c8241f,Function-based responsive frame,Sports,198.98
df8f12e0-08b9-4db6-a575-aae3c2b7222b,Synergistic fresh-thinking algorithm,Sports,278.65
16140b80-adf5-4384-a968-f18b12b3debb,Down-sized multi-state functionalities,Apparel,114.61
ac86618a-c9be-420f-b571-fe376e9b3c24,Visionary bottom-line Graphic Interface,Home,199.51
5d0afcfb-fff0-4961-973c-570ef853bbed,Universal actuating product,Apparel,401.98
dcb2f980-9307-46e2-baf7-8ca02993ede7,Distributed background productivity,Beauty,465.14
2f9ce484-33f6-47a0-9933-637640bf3e09,Profound demand-driven website,Apparel,360.36
0c42c337-8500-4369-9a0b-d295b56d4724,Proactive content-based structure,Beauty,350.34
5e27f26a-bd21-4599-95d4-7ba7976f6840,Realigned holistic installation,Home,24.49
203a40ea-0fd2-44c2-8c41-ab9c84663334,Down-sized discrete data-warehouse,Beauty,301.97
448cd703-87f9-4a50-b395-7568cb4016bb,Fully-configurable 3rdgeneration orchestration,Sports,156.94
59a9b0d0-e74f-4da7-8f80-470c134f906d,Public-key grid-enabled contingency,Beauty,160.99
9827eea1-3ae8-49d6-97d9-b37307464eb7,Re-engineered mobile utilization,Sports,437.63
ce75dab1-6cc1-4ed1-aa21-517496ac8bf3,Managed bifurcated strategy,Apparel,459.04
d21ad083-ebc3-4427-9db6-108c18626ccc,Integrated bifurcated orchestration,Sports,292.17
a441a667-1dfe-4d9b-be13-d12439b200f1,Horizontal hybrid alliance,Sports,76.31
3fd229ea-f26d-4be6-a6b7-4d7fa71c5895,Persevering even-keeled matrices,Home,382.48
86afb2cb-daa0-40e3-9d23-8f9952a72af0,Operative foreground website,Apparel,195.78
8c9863b1-35eb-4b73-a2cc-6b85e7d92948,Innovative systematic definition,Electronics,233.08
1144c0e0-370f-475a-8b7c-de08e3f24e8f,User-friendly clear-thinking leverage,Electronics,174.54
e9670d83-13ae-45ae-a749-824acfcebf86,Innovative regional interface,Home,248.4
59ca424b-0fa4-4a38-86ae-a0eaac0eff5f,Programmable 3rdgeneration knowledge user,Beauty,454.6
d0255a61-fcca-41d6-9446-e0fd7bf9d4ff,Mandatory incremental toolset,Apparel,23.39
08955aa6-2a72-40b1-99ab-bb0b7a865bc7,Universal upward-trending implementation,Beauty,292.67
db4ae9ca-772c-434a-b236-ead949daf69f,Monitored methodical productivity,Apparel,321.55
